id;rep_no;name;group;address1;address2;postcode;suburb;state;country;phone;website;lat;lng;type
27;642;JT'S LADIES & MEN'S H/S - BELMONT;JT'S;SHOP 100 BELMONT FORUM S/CENTRE;;6104;BELMONT         ;WA;Australia;08 9479 4314;;-31.943375;115.925751;
28;642;JT'S LADIES & MEN'S H/S - CANNINGTON;JT'S;"SHOP 1048 CAROUSEL S/CENTRE
1382 ALBANY HIGHWAY   ";;6107;CANNINGTON      ;WA;Australia;08 9356 8844;;-32.018772;115.93634;
29;642;JT'S LADIES & MEN'S H/S - BOORAGOON;JT'S;"SHOP 206 GARDEN CITY S/CENTRE 
125-133 RISELEY STREET";;6154;BOORAGOON       ;WA;Australia;08 9315 9655    ;;-32.033894;115.835358;
30;642;JT'S LADIES & MENS H/S -  CLARKSON;JT'S;SHOP 17 OCEAN KEYS SHOPPING CENTRE;;6030;CLARKSON        ;WA;Australia;08 9407 7209;;-31.681454;115.714638;
31;642;JT'S LADIES & MENS H/S -  ELLENBROOK;JT'S;"SHOP T45 THE SHOPS AT ELLENBROOK
CNR PINASTER PDE & THE PROMENADE";;6069;ELLENBROOK;WA;Australia;08 6296 6028;;-31.78064;115.969658;
574;0;BACH HAIR;;76 Cochrane Street;;4064;Paddington;QLD;Australia;;;-27.455938;153.004105;
33;642;M.A. SALON;;492-494 STIRLING HWY     ;;6011;PEPPERMINT GROVE;WA;Australia;08 9383 1749;;-31.999311;115.761955;
34;642;MAKASI;;SHOP 3, 138 BARRACK STREET;;6000;PERTH           ;WA;Australia;08 9221 8816;;-31.95289;115.86132;
35;642;MAURICE MEADE  - BOORAGOON  ;MAURICE MEADE;SHOP 161 BOORAGGON S/C            ;;6154;BOORAGOON       ;WA;Australia;08 9315 9144    ;;-32.032917;115.832634;
36;642;MAURICE MEADE CLAREMONT  ;MAURICE MEADE;"1st FLOOR CLAREMONT QUARTER
ST QUENTIN AVENUE";;6010;CLAREMONT       ;WA;Australia;08 9384 6744;;-31.982935;115.779076;
37;642;MAURICE MEADE DAVID JONES - BOORAGOON;MAURICE MEADE;"DAVID JONES 1ST FLOOR 
BOORAGOON S/CENTRE  ";;6154;BOORAGOON       ;WA;Australia;08 9364 8488    ;;-32.035328;115.83596;
38;642;MAURICE MEADE - KARRINYUP  ;MAURICE MEADE;"SHOP F133 KARRINYUP S/CENTRE 
200 KARRINYUP ROAD       ";;6018;KARRINYUP       ;WA;Australia;08 9446 2422;;-31.876862;115.778923;
39;642;MAURICE MEADE DAVID JONES -KARRINYUP  ;MAURICE MEADE;"DAVID JONES 1ST FLOOR
KARRINYUP S/CENTRE            ";;6018;KARRINYUP       ;WA;Australia;08 9445 3403;;-31.875526;115.778;
40;642;MAURICE MEADE-  PERTH      ;MAURICE MEADE;847 HAY ST               ;;6000;PERTH           ;WA;Australia;08 9321 9987    ;;-31.95265;115.854126;
41;642;MAURICE MEADE - SUBIACO    ;MAURICE MEADE;CNR BAKER & ROKEBY RDS   ;;6008;SUBIACO         ;WA;Australia;08 9381 6447    ;;-31.948761;115.824043;
42;642;MAURICE MEADES - ACADEMY;MAURICE MEADE;4 BURGAY COURT;;6017;OSBOURNE PARK;WA;Australia;;;-31.907915;115.801941;
43;642;MAURICE MEADE - WHITFORD   ;MAURICE MEADE;"SHOP 262 WHITFORD AVENUE
WHITFORD CITY S/CENTRE        ";;6025;WHITFORD CITY   ;WA;Australia;08 9402 5899    ;;-31.799837;115.745682;
44;642;MAURICE MEADES - CAROUSEL;MAURICE MEADE;"SHOP 1029 CAROUSEL S/CENTRE
1382 ALBANY HIGHWAY";;6107;CANNINGTON      ;WA;Australia;08 9356 6811;;-32.018772;115.93634;
45;642;ME;;"SHOP 214, LEVEL 2 CLAREMONT QUARTER
ST QUENTINS AVENUE";;6101;CLAREMONT       ;WA;Australia;08 9284 2429;;-31.982351;115.780785;
46;642;PERFECT ENDS FOR HAIR;;SHOP 5, 6 KINGSBRIDGE BLVD;;6036;BUTLER;WA;Australia;08 9562 4244;;-31.649965;115.697914;
47;642;PERFECT ENDZ;;3/99 LINDSAY BEACH BOULEVARD;;6035;YANCHEP;WA;Australia;08 9561 6919;;-31.542511;115.631714;
48;642;RAVEN HAIR DESIGN;;3A, 40 WADDELL ROAD;;6157;BICTON          ;WA;Australia;08 9319 8828;;-32.033909;115.792374;
49;642;RE FINERY ;;"SHOP 2 CARINE GLADES S/CENTRE 
BEACH ROAD               ";;6023;DUNCRAIG;WA;Australia;08 9246 1710    ;;-31.845762;115.779442;
50;642;REBECCA OATES HAIR  - BICTON     ;REBECCA OATS HAIR;SHOP 5, 258 CANNING HIGHWAY      ;;6157;BICTON          ;WA;Australia;08 9319 1748    ;;-32.037701;115.776657;
51;642;REBECCA OATES HAIR - COTTESLOE      ;REBECCA OATS HAIR;17 NAPOLEAN STREET;;6011;COTTLESLOE;WA;Australia;08 9284 4059;;-31.997999;115.761566;
52;642;REBECCA OATES HAIR - SUBIACO      ;REBECCA OATS HAIR;119 ROKEBY ROAD;;6008;SUBIACO         ;WA;Australia;;;-31.948429;115.823898;
53;642;RENO'S HAIR CARE - KARRINYUP        ;RENO'S HAIR CARE;SH G19 KARRINYUP S/CENTRE    ;;6018;KARRINYUP       ;WA;Australia;08 9446 6740;;-31.875526;115.778;
54;642;RENO'S HAIR CARE  - WARWICK;RENO'S HAIR CARE;SH 43 WARWICK GROVE S/CENTRE  ;;6024;WARWICK         ;WA;Australia;08 9447 8502;;-31.840878;115.816742;
55;642;RENO'S HAIR CARE -  JOONDALUP      ;RENO'S HAIR CARE;SHOP 67 LAKESIDE JOONDALUP S/CENTRE           ;;6027;JOONDALUP       ;WA;Australia;08 9300 3664;;-31.744106;115.763847;
56;642;RENO'S HAIR CARE  -   MORLEY     ;RENO'S HAIR CARE;"MORLEY GALLERIA S/CENTRE  
SHOP 104 GROUND FLOOR    ";;6062;MORLEY          ;WA;Australia;08 9276 8258    ;;-31.898243;115.895073;
57;642;RENO'S HAIR CARE -  BOORAGOON    ;RENO'S HAIR CARE;SH 38 GARDEN CITY S/CENTRE    ;;6154;BOORAGOON       ;WA;Australia;08 9364 8088;;-32.035328;115.83596;
58;642;RENO'S ON ST QUEINTEN;RENO'S HAIR CARE;SHOP L1149 CLAREMONT QTR S/CENTRE;;6010;CLAREMONT       ;WA;Australia;08 9284 6622;;-31.981632;115.781288;
59;642;RIDOLFO'S FOR HAIR       ;;"SHOP 7 NORTH PERTH PLAZA 
FITZGERALD STREET        ";;6006;NORTH PERTH     ;WA;Australia;08 9227 7808    ;;-31.932079;115.859146;
60;642;RYAN WAUGH HAIRDRESSING;;6 PEELS PLACE;;6330;ALBANY          ;WA;Australia;08 9841 7070;;-35.025898;117.884888;
61;642;SACHI FOR HAIR           ;SACHI FOR HAIR;SHOP 1 FLOREAT FORUM S/CENTRE        ;;6014;FLOREAT         ;WA;Australia;08 9287 2511    ;;-31.939018;115.792213;
62;642;SACHI FOR HAIR           ;SACHI FOR HAIR;105A MIDLAND GATE SHOPPING CENTRE    ;;6056;MIDLAND         ;WA;Australia;08 9274 7914    ;;-31.888475;116.002937;
63;642;SACHI FOR HAIR-DIANELLA  ;SACHI FOR HAIR;"SHOP 57 DIANELLA PLAZA  
GROUND PROMENADE         ";;6059;DIANELLA        ;WA;Australia;08 9276 2624    ;;-31.89563;115.8722;
64;642;SALON 44;;44 GUGERI STREET;;6010;CLAREMONT       ;WA;Australia;08 9383 2831;;-31.980839;115.782135;
65;642;SAM RIFICI - KARRINYUP   ;SAM RIFICI;G74 KARRINYUP S/CENTRE;;6018;KARRINYUP       ;WA;Australia;08 9446 6445 ;;-31.875557;115.778816;
66;642;SAM RIFICI - WHITFORD   ;SAM RIFICI;SHOP 36 WHITFORD CITY S/CENTRE   ;;6025;WHITFORD;WA;Australia;08 9401 5606    ;;-31.799837;115.745682;
67;642;SAM RIFICI -FLOREAT PARK ;SAM RIFICI;SHOP 6 FLOREAT FORUM S/CENTRE;;6014;FLOREAT PARK    ;WA;Australia;08 9387 4664    ;;-31.93959;115.791168;
572;0;MARIE-FRANCES GROUP;;SHOP 10, PHILLIP MALL SHOPPING VILLAGE;KENDALL STREET;2073;WEST PYMBLE;NSW;Australia;02 9418 1055;;-33.760662;151.131042;
571;0;VANILAH;;6 CAMP STREET;;3350;BALLARAT;VIC;Australia;03 5333 4533;;-37.561543;143.859222;
70;642;THE SHEARING SHED        ;;SHOP 8 WILLIAM STREET        ;;6160;FREMANTLE       ;WA;Australia;08 9430 7499    ;;-32.053982;115.748665;
71;642;VALENTINO'S HAIR STUDIO  ;;SHOP 1066 CAROUSEL SCENTRE ;;6107;CANNINGTON      ;WA;Australia;08 9356 2838    ;;-32.020035;115.932846;
72;642;VIRGO'S HAIRDRESSING     ;;"SHOP 6 CRAGIE PLAZA
EDDYSTONE AVENUE         ";;6025;CRAIGIE         ;WA;Australia;08 9401 5303    ;;-31.784958;115.76767;
73;642;ZEDZ                     ;;329 CANNING HIGHWAY      ;;6157;PALMYRA         ;WA;Australia;08 9319 1016    ;;-32.036617;115.78479;
74;631;ABSOLUTELY FABULOUS;;SHOP 3 BENT STREET;;2070;LINDFIELD;NSW;Australia;02 9415 6410;;-33.774761;151.168076;
580;0;PERRIS;;SHOP 2094, LEVEL 2 FOUNTAIN GATE S;CENTRE,352 PRINCES HWY;3805;FOUNTAIN GATE;VIC;AUSTRALIA;;;-38.017971;145.304672;
76;631;ALLURE HAIR & BODY;;SHOP 4, 98 THE ESPLANADE;;2260;TERRIGAL;NSW;Australia;02 4384 4521;;-33.446121;151.443771;
77;631;ANTHONY LIPARI HAIRDRESSER;;8 WILLOUGHBY ROAD          ;;2065;CROWS NEST      ;NSW;Australia;02 9901 4111    ;;-33.827351;151.20076;
78;631;AQUA HAIR & BODY;;SHOP 20A THE JUNCTION FAIR S/CENTRE;;2291;NEWCASTLE ;NSW;Australia;02 4969 5112    ;;-32.926704;151.773239;
79;631;THE BELCASTRO HAIR;;9A CAMPBELL STREET           ;;2152;NORTHMEAD       ;NSW;Australia;02 9630 2972    ;;-33.788578;150.997238;
80;631;BLUE AFRO HAIR SKIN & BODY;;214 PITTWATER ROAD;;2095;MANLY           ;NSW;Australia;02 9976 5599;;-33.788025;151.284668;
81;631;BOFFA - BROOKVALE        ;BOFFA;SHOP 323 WARRINGAH MALL              ;;2100;BROOKVALE       ;NSW;Australia;02 9939 6933    ;;-33.767845;151.26268;
82;631;BOFFA - CHATSWOOD        ;BOFFA;SHOP 325 WESTFIELD S/CENTRE       ;;2067;CHATSWOOD       ;NSW;Australia;02 9413 4773    ;;-33.796078;151.183105;
83;631;BOFFA - ST IVES          ;BOFFA;SHOP 133 ST IVES SHOPPING CENTRE  ;;2075;ST IVES         ;NSW;Australia;02 9144 4262    ;;-33.729897;151.160965;
84;631;BUTLERS FOR HAIR;;SHOP 6, 27 GROSVENOR STREET;;2089;NEUTRAL BAY;NSW;Australia;02 9908 2922;;-33.830093;151.222;
610;0;CRANIUM;;CNR BELGRAVE & GILBERT STREETS;;2095;MANLY;NSW;Australia;02 9976 0211;;-33.87775;151.24321;
86;631;CLIPSO HAIRDRESSING;;SHOP 18, 100 EDINBURGH STREET;;2068;CASTLECRAG;NSW;Australia;02 9958 0170;;-33.802731;151.212204;
87;631;CORDONY - BROOKEVALE;CORDONY;SHOP 245 WARRINGAH MALL  ;;2100;BROOKEVALE;NSW;Australia;02 9905 7362    ;;-33.767845;151.26268;
88;631;CORDONY - WARRIEWOOD     ;CORDONY;SHOP 53 WARRIEWOOD SHOPPING SQUARE                   ;;2102;WARRIEWOOD      ;NSW;Australia;02 9913 8181    ;;-33.696949;151.29567;
89;631;CORDONY- NORTH RYDE      ;CORDONY;SHOP 29 MACQUARIE CENTRE   ;;2113;NORTH RYDE      ;NSW;Australia;02 9888 1002    ;;-33.77243;151.110443;
90;631;CUTTING POINT - BROADWAY;CUTTING POINT;SHOP 16 BROADWAY S/CENTRE, BAY STREET;;2007;BROADWAY;NSW;Australia;02 9212 4912;;-33.881878;151.194794;
91;631;CUTTING POINT -RHODES;CUTTING POINT;SHOP 11, RHODES SHOPPING CENTRE;;2138;RHODES;NSW;Australia;02 8765 9007;;-33.83086;151.08754;
92;631;D SALON HAIR & BEAUTY;;48 FLUSHCOMBE ROAD;;2148;BLACKTOWN;NSW;Australia;02 9676 2222;;-33.770996;150.908478;
93;631;DE JA VU;;SHOP 3, 57 CORNER BELLS LINE RD & GROSE VALE RD;;2754;NORTH RICHMOND;NSW;Australia;02 4571 1285;;-33.579872;150.719604;
94;631;DETAIL FOR MEN;;"SHOP 3 NORWICH HOUSE
6 O'CONNELL STREET";;2000;SYDNEY          ;NSW;Australia;02 9231 5999;;-33.864998;151.2099;
95;631;E SALON;;SHOP 7, 2 REDLEAF AVENUE;;2119;WAHROONGA;NSW;Australia;02 9487 8011;;-33.718781;151.117523;
613;0; PROFILE HAIR DESIGN;;SUITE 3/140 MARGARET STREET;;4350;TOOWOOMBA;QLD;AUSTRALIA;07 4638 2498;;-27.561695;151.955994;
97;631;ESCAPADE HAIR STUDIO     ;;8 RAILWAY PARADE         ;;2142;GRANVILLE       ;NSW;Australia;02 9682 7725    ;;-33.832638;151.011047;
98;631;FANATICS HAIR STUDIO     ;;PODIUM LEVEL, SKY CITY BUILDING A;;2153;BELLA VISTA;NSW;Australia;02 9680 4992    ;;-33.743938;150.958939;
99;631;FIRST AVENUE FOR HAIR;;"SHOP 7 GREENWOOD PLAZA
80 PACIFIC HIGHWAY       ";;2060;NORTH SYDNEY    ;NSW;Australia;02 9922 7766    ;;-33.840778;151.207718;
566;0;STEVEN PROFESSIONAL - BEULAH PARK;;315 THE PARADE;;5061;BEULAH PARK;SA;Australia;;;-34.920574;138.648804;
101;631;FRANK PROVAST PARIS;FRANK PROVAST;185 MACQUARIE STREET;;2000;SYDNEY          ;NSW;Australia;02 9232 0606 ;;-33.86694;151.212326;
102;631;FRANK PROVOST - CROWS NEST;;SHOP 5, 29 HOLTERMANN STREET;;2065;CROWS NEST      ;NSW;Australia;02 9439 8338;;-33.825008;151.202316;
103;631;FUZE;;57B BOUNDARY ROAD;;2830;DUBBO;NSW;Australia;02 6882 0942;;-32.268353;148.610046;
104;631;GALLERY 137              ;;137 SUMMER STREET          ;;2800;ORANGE          ;NSW;Australia;02 6361 4555    ;;-33.283073;149.097031;
105;631;GILLIAN ADAMS SALON & SPA;;1356 PACIFIC HIGHWAY         ;;2074;TURRAMURRA      ;NSW;Australia;02 9488 9944    ;;-33.733566;151.128433;
106;631;HAIR @ ROUGE;;139 VINCENT STREET;;2325;CESSNOCK;NSW;Australia;02 4991 6539;;-32.83646;151.35585;
107;631;HAIR BY PHD - PARRAMATTA ;;35 PHILLIP STREET        ;;2150;PARRAMATTA      ;NSW;Australia;02 9635 4721;;-33.8125;151.004181;
108;631;HAIR ESTEEM              ;;"SHOP 5/6 PENRITH CENTRE
CNR HIGH & STATION STREETS   ";;2750;PENRITH         ;NSW;Australia;02 4722 3250    ;;-33.75621;150.692291;
109;631;HAIR EUPHORIA - NORTH RYD;;LEVEL 2,SHOP 73 MACQUARIE CENTRE ;;2113;NORTH RYDE      ;NSW;Australia;02 9878 1906    ;;-33.77243;151.110443;
110;631;HAIR 'N' CARE  - BROOKVLAE          ;HAIR N CARE;SHOP 118 WARRINGAH MALL                 ;;2100;BROOKVALE       ;NSW;Australia;02 9939 6576;;-33.767845;151.26268;
111;631;HAIR N CARE - NORTH RYDE;HAIR N CARE;SHOP 81 MACQUARIE CENTRE                     ;;2113;NORTH RYDE      ;NSW;Australia;02 9888 2701    ;;-33.77243;151.110443;
112;631;JADORE HAIR;;148 DARBY STREET;;2800;COOKS HILL;NSW;Australia;02 4926 5211;;-32.931946;151.77121;
113;631;JUST LIBERATED;;SUITE 1, 88 PARK AVENUE;;2289;KOTARA;NSW;Australia;02 4957 5281;;-32.940262;151.7099;
115;631;KULTURE IN HAIR SERVICES ;;36 AVALON PDE            ;;2107;AVALON          ;NSW;Australia;02 9918 7634    ;;-33.635853;151.328262;
116;631;LA COUPE;;SHOP 27 STOCKLAND MALL;;2153;BAULKHAM HILLS;NSW;Australia;02 9688 7751;;-33.760674;150.993011;
117;631;LE RAUX;;SHOP 4 ASPECTS OF LEURA ARCADE, 166-168 LEURA MALL;;2780;LEURA;NSW;Australia;02 4784 3232;;-33.713715;150.33139;
118;631;LE SALON;;121 BEARDY STREET;;2358;ARMIDALE;NSW;Australia;02 6772 1997;;-30.513821;151.668182;
119;631;LOUIS HAIR CUTTING & COLOR SPECIALIST;;34 BURTON STREET             ;;2061;MILSONS POINT   ;NSW;Australia;02 9955 2010    ;;-33.846123;151.213257;
120;631;LUXE;;"SHOP G059 CHATSWOOD S/CENTRE
345 VICTORIA AVENUE";;2097;CHATSWOOD       ;NSW;Australia;02 9412 1244;;-33.734283;151.294785;
121;631;MADE IN PARIS HAIR-MOSMAN;;SHOP 1, 836 MILITARY ROAD        ;;2088;MOSMAN          ;NSW;Australia;02 9968 3109;;-33.828918;151.244217;
122;631;MANIPULATE HAIR & BEAUTY   ;;152 CLARENCE STREET;;2000;SYDNEY          ;NSW;Australia;02 9299 0707    ;;-33.869637;151.20546;
579;0;KESH HAIR AND BEAUTY;;296 ST KILDA ROAD;;3182;ST KILDA;VIC;AUSTRALIA;03 9537 3736;;-37.863987;144.985748;
124;631;PAUL CORBITT;;134 SYDNEY ROAD;;2094;FAIRLIGHT       ;NSW;Australia;02 9949 6009;;-33.795864;151.277145;
125;631;PLATINUM HAIR SALON;;SHOP 207, 801 PENNANT HILLS ROAD;;2118;CARLINGFORD;NSW;Australia;02 9871 2000;;-33.776131;151.052689;
126;631;PORTFOLIO HAIR;;1773 PITTWATER ROAD;;2103;MONA VALE       ;NSW;AUSTRALIA;02 9997 1343;;-33.676476;151.303528;
127;631;PRODIGY HAIR FACE BODY;;"SHOP 10-11 DEEWHY GRAND
15 - 19 PACIFIC PARADE";;2099;DEE WHY;NSW;Australia;02 9982 6364;;-33.754581;151.285461;
128;631;P'ZAZZ HAIR STUDIO;;1A BROUGHTON ROAD;;2064;ARTARMON;NSW;Australia;02 9419 3147;;-33.808796;151.184174;
129;631;RACHEL JONES BOUTIQUE SALON & SPA;;104 GLOVER STREET;;2088;MOSMAN          ;NSW;Australia;02 9904 9901;;-33.828373;151.230637;
130;631;RICHFIELD HAIRDRESSING;;7A LAWRENCE STREET           ;;2096;HARBORD         ;NSW;Australia;02 9905 4631    ;;-33.778061;151.285126;
131;631;ROCKET HAIR - MCMAHONS POINT;;144 BLUES POINT ROAD     ;;2060;MCMAHONS POINT  ;NSW;Australia;02 9922 3820    ;;-33.844193;151.204285;
132;631;RUSK INTERNATIONAL HAIR  ;;237 SYDNEY ROAD          ;;2094;FAIRLIGHT       ;NSW;Australia;02 9948 7269    ;;-33.795086;151.271515;
133;631;SALON ST IVES            ;;SHOP 5, ST IVES SHOPPING VILLAGE ;;2075;ST IVES         ;NSW;Australia;02 9449 7206    ;;-33.729897;151.160965;
134;631;SANCTUARY FOR HAIR       ;;SHOP 515, LEVEL 3, CASTLE TOWERS S/CENTRE  ;;2154;CASTLE HILL     ;NSW;Australia;02 9634 8985    ;;-33.732819;151.004959;
135;631;SANCTUARY FOR HAIR & BODY;;"SHOP 2016, LEVEL 2 WESTFIELD S/CENTRE
236 PACIFIC HIGHWAY";;2077;HORNSBY         ;NSW;Australia;02 9987 0700    ;;-33.705097;151.099442;
136;631;SLOANS OF LANE COVE;;119 LONGUEVILLE ROAD;;2066;LANE COVE       ;NSW;Australia;02 9420 4880;;-33.814442;151.169449;
137;631;STUDIO 500               ;;445 MILLER ST            ;;2062;CAMMERAY        ;NSW;Australia;02 9955 3842 ;;-33.822281;151.21048;
138;631;STYLZ - BROOKVALE        ;STYLZ;"SHOP 411 WARRINGAH MALL  
OLD PITTWATER ROAD";;2100;BROOKVALE       ;NSW;Australia;02 9907 3633    ;;-33.767845;151.26268;
139;631;STYLZ - CHATSWOOD        ;STYLZ;SHOP 237  WESTFIELD SHOPPING TOWN                ;;2067;CHATSWOOD       ;NSW;Australia;02 9410 0488    ;;-33.797729;151.183914;
140;631;STYLZ - HORSNBY          ;STYLZ;SHOP 1070, LEVEL 1 WESTFIELD S/CENTRE;;2077;HORNSBY         ;NSW;Australia;02 9476 6166    ;;-33.703159;151.100479;
141;631;STYLZ - TUGGERAH;STYLZ;SHOP 1046 WESTFIELD SHOPPING CENTRE;;2259;TUGGERAH;NSW;Australia;02 4352 3200;;-33.307209;151.419617;
142;631;STYLZ - PARRAMATTA       ;STYLZ;"SHOP 5014 WESTFIELD S/CENTRE
CHURCH STREET";;2150;PARRAMATTA      ;NSW;Australia;02 9635 4864    ;;-33.814304;151.003174;
143;631;STYLZ HAIRDRESSING       ;STYLZ;"KIOSK 362, SYDNEY CENTRAL PLAZA
PITT ST MALL, MARKET STREET";;2000;SYDNEY          ;NSW;Australia;02 9232 2166    ;;-33.87365;151.206894;
144;631;SUGAR SUITE;;SUITE 2, 2 HONEYSUCKLE DRIVE;;2300;NEWCASTLE ;NSW;Australia;02 4929 7777;;-32.925556;151.770233;
145;631;SUKI HAIRDRESSING - NEWCASTLE;;2 OCEAN STREET;;2300;NEWCASTLE ;NSW;Australia;02 4929 5077;;-32.928921;151.78569;
146;631;TAYLOR & COMPANY HAIRCUTTERS;;SHOP 1, 51 ETHEL STREET;;2092;SEAFORTH        ;NSW;Australia;02 9949 7774    ;;-33.797714;151.250839;
147;631;THE HAIRDRESSER;;SHOP 2, 93 GREENWICH RD        ;;2065;GREENWICH       ;NSW;Australia;02 9439 6397    ;;-33.831669;151.186218;
148;631;THE MAXX;;1 DENLEY LANE;;2075;ST IVES         ;NSW;Australia;02 9440 4053;;-33.729965;151.160446;
149;631;THE NEW BLACK SALON;;21 WOLFE STREET;;2300;NEWCASTLE ;NSW;Australia;02 4929 4400;;-32.927158;151.779892;
150;631;THE URBAN FRINGE         ;;"SHOP 3004 WESTFIELD S/CENTRE
PACIFIC HIGHWAY";;2077;HORNSBY         ;NSW;Australia;02 9477 7645;;-33.719547;151.115891;
151;631;TRUMPS ALTO EGO;;117 HARRINGTON STREET;;2000;SYDNEY          ;NSW;Australia;02 9299 7650;;-33.862202;151.206909;
152;631;WOOHOO SALON;;SUITE 2, 161-165 PACIFIC HIGHWAY;;2290;CHARLESTON;NSW;Australia;02 4947 8877;;-32.975468;151.71225;
153;631;XQUIZIT HAIR             ;;SHOP 3/P6, 201-205 PACIFIC HWY ;;2065;ST LEONARDS     ;NSW;Australia;02 9439 2991    ;;-33.82275;151.194672;
620;0;FRUITION HAIR;;ROWES ARCADE, SHOP 5, 215 ADELAIDE ST;;4000;BRISBANE;QLD;AUSTRALIA;07 3229 0103;;-27.48073;153.029221;
